T(K)    B(T)     M(muB)
10    0.32144	0.39425
10    0.36573	0.44828
10    0.41285	0.50577
10    0.46286	0.56652
10    0.51569	0.6307
10    0.57142	0.69761
10    0.62994	0.76788
10    0.6914	0.84072
10    0.75567	0.91691
10    0.82282	0.99533
10    0.8928	1.07704
10    0.96564	1.16048
10    1.04132	1.24717
10    1.11993	1.33532
10    1.20133	1.42659
10    1.2856	1.51851
10    1.37273	1.61356
10    1.46274	1.70873
10    1.55558	1.80688
10    1.65129	1.90412
10    1.74985	2.00425
10    1.85127	2.10308
10    1.95556	2.20469
10    2.06267	2.30405
10    2.17267	2.40608
10    2.28552	2.50456
10    2.40121	2.60552
10    2.51979	2.70311
10    2.64121	2.80304
10    2.76547	2.89834
10    2.8926	2.99584
10    3.02258	3.08795
10    3.15546	3.18213
10    3.29113	3.27097
10    3.4297	3.36172
10    3.57109	3.44647
10    3.7154	3.53299
10    3.86249	3.61367
10    4.0125	3.69595
10    4.16534	3.7715
10    4.32104	3.84846
10    4.4796	3.92015
10    4.64101	3.99312
10    4.80527	4.0603
10    4.97238	4.12866
10    5.14236	4.19155
10    5.31522	4.25552
10    5.49093	4.31434
10    5.66946	4.3741
10    5.85086	4.42922
10    6.03513	4.48521
10    6.22229	4.53738
10    6.41225	4.59033
10    6.6051	4.63894
10    6.8008	4.68827
10    6.99935	4.73385
10    7.20074	4.78009
10    7.40497	4.82324
10    7.61213	4.86702
10    7.8221	4.90777
10    8.03494	4.94908
10    8.25064	4.98704
10    8.46919	5.0255
10    8.69057	5.06197
10    8.91486	5.09892
10    9.14196	5.13377
10    9.37194	5.16907
10    9.60475	5.20288
10    9.84048	5.23712
10    10.07903	5.26924
10    10.32042	5.30175
10    10.56469	5.33307
10    10.81179	5.36474
10    11.06177	5.39404
10    11.3146	5.42366
10    11.5703	5.45219
10    11.82883	5.48102
10    12.09024	5.50854
10    12.3545	5.53635
10    12.62162	5.5627
10    12.89158	5.58934
10    13.16439	5.61501
10    13.44009	5.64096
10    13.71864	5.66567
10    14.00004	5.69065

20    0.00144	-3.64024E-4
20    0.00572	0.00258
20    0.01283	0.00747
20    0.02286	0.0152
20    0.03569	0.0251
20    0.05145	0.03672
20    0.07004	0.05044
20    0.09148	0.06638
20    0.11576	0.08443
20    0.14288	0.10403
20    0.17287	0.12571
20    0.20573	0.15036
20    0.24143	0.17715
20    0.28001	0.20554
20    0.32144	0.23604
20    0.36573	0.26854
20    0.41285	0.30312
20    0.46286	0.33967
20    0.51569	0.37828
20    0.57142	0.4191
20    0.62994	0.46196
20    0.6914	0.50663
20    0.75567	0.55335
20    0.82282	0.60177
20    0.8928	0.65222
20    0.96564	0.70451
20    1.04132	0.75884
20    1.11993	0.81488
20    1.20133	0.87291
20    1.2856	0.93249
20    1.37273	0.99411
20    1.46274	1.05711
20    1.55558	1.12207
20    1.65129	1.18823
20    1.74985	1.25636
20    1.85127	1.32552
20    1.95556	1.39663
20    2.06267	1.46832
20    2.17267	1.54194
20    2.28552	1.61649
20    2.40121	1.69291
20    2.51979	1.76904
20    2.64121	1.84699
20    2.76547	1.92482
20    2.8926	2.00444
20    3.02258	2.08368
20    3.15546	2.16469
20    3.29113	2.2448
20    3.4297	2.32662
20    3.57109	2.40699
20    3.7154	2.48903
20    3.86249	2.56973
20    4.0125	2.65203
20    4.16534	2.73265
20    4.32104	2.81478
20    4.4796	2.89437
20    4.64101	2.9754
20    4.80527	3.05396
20    4.97238	3.13388
20    5.14236	3.21115
20    5.31522	3.28973
20    5.49093	3.36536
20    5.66946	3.44219
20    5.85086	3.51583
20    6.03513	3.59063
20    6.22229	3.662
20    6.41225	3.73445
20    6.6051	3.80395
20    6.8008	3.87448
20    6.99935	3.94115
20    7.20074	4.00879
20    7.40497	4.07329
20    7.61213	4.13871
20    7.8221	4.20019
20    8.03494	4.26251
20    8.25064	4.32166
20    8.46919	4.38159
20    8.69057	4.43838
20    8.91486	4.49592
20    9.14196	4.54992
20    9.37194	4.60461
20    9.60475	4.65622
20    9.84048	4.70848
20    10.07903	4.75773
20    10.32042	4.80756
20    10.56469	4.85463
20    10.81179	4.90225
20    11.06177	4.94688
20    11.3146	4.99202
20    11.5703	5.03509
20    11.82883	5.07864
20    12.09024	5.11977
20    12.3545	5.16134
20    12.62162	5.19955
20    12.89158	5.23817
20    13.16439	5.2755
20    13.44009	5.31322
20    13.71864	5.34873
20    14.00004	5.3846

40    0.00144	-2.02573E-4
40    0.00572	0.00146
40    0.01283	0.00422
40    0.02286	0.00865
40    0.03569	0.01432
40    0.05145	0.02095
40    0.07004	0.02879
40    0.09148	0.03778
40    0.11576	0.04796
40    0.14288	0.05949
40    0.17287	0.07224
40    0.20573	0.08607
40    0.24143	0.1011
40    0.28001	0.11732
40    0.32144	0.13473
40    0.36573	0.15331
40    0.41285	0.17307
40    0.46286	0.194
40    0.51569	0.21611
40    0.57142	0.23949
40    0.62994	0.26405
40    0.6914	0.28969
40    0.75567	0.3165
40    0.82282	0.34445
40    0.8928	0.37359
40    0.96564	0.40384
40    1.04132	0.43527
40    1.11993	0.46788
40    1.20133	0.50165
40    1.2856	0.53657
40    1.37273	0.57269
40    1.46274	0.60978
40    1.55558	0.64804
40    1.65129	0.68741
40    1.74985	0.72796
40    1.85127	0.76944
40    1.95556	0.8121
40    2.06267	0.85574
40    2.17267	0.90056
40    2.28552	0.94624
40    2.40121	0.99308
40    2.51979	1.04084
40    2.64121	1.08974
40    2.76547	1.13937
40    2.8926	1.19015
40    3.02258	1.24165
40    3.15546	1.2943
40    3.29113	1.34747
40    3.4297	1.40178
40    3.57109	1.45665
40    3.7154	1.51265
40    3.86249	1.56899
40    4.0125	1.62644
40    4.16534	1.68388
40    4.32104	1.74241
40    4.4796	1.80148
40    4.64101	1.86162
40    4.80527	1.92188
40    4.97238	1.98319
40    5.14236	2.04444
40    5.31522	2.10673
40    5.49093	2.16885
40    5.66946	2.23196
40    5.85086	2.29471
40    6.03513	2.35846
40    6.22229	2.42217
40    6.41225	2.48684
40    6.6051	2.55062
40    6.8008	2.61534
40    6.99935	2.67947
40    7.20074	2.74453
40    7.40497	2.8086
40    7.61213	2.8736
40    7.8221	2.93768
40    8.03494	3.00265
40    8.25064	3.07215
40    8.46919	3.14256
40    8.69057	3.20021
40    8.91486	3.25861
40    9.14196	3.32141
40    9.37194	3.38502
40    9.60475	3.44728
40    9.84048	3.51033
40    10.07903	3.57189
40    10.32042	3.63417
40    10.56469	3.69385
40    10.81179	3.75422
40    11.06177	3.8137
40    11.3146	3.87386
40    11.5703	3.93234
40    11.82883	3.99146
40    12.09024	4.0488
40    12.3545	4.10677
40    12.62162	4.16339
40    12.89158	4.22061
40    13.16439	4.27516
40    13.44009	4.33028
40    13.71864	4.3836
40    14.00004	4.43746
