   Chi^2    ('R1', 'R2', 'R3', 'Theta2', 'Theta3', 'Phi', 'q1', 'q2', 'q3')
     4.970    1.78  1.62  1.42 82.   80.   58.    0.6   0.29  0.12
     4.996    1.78  1.62  1.42 82.   80.   58.    0.6   0.3   0.12
     4.997    1.77  1.62  1.4  82.   80.   58.    0.6   0.29  0.12
     5.043    1.78  1.62  1.4  82.   80.   58.    0.6   0.28  0.12
     5.067    1.76  1.64  1.38 82.   80.   58.    0.6   0.3   0.12
     5.074    1.78  1.64  1.4  82.   80.   56.    0.6   0.28  0.16
     5.139    1.77  1.63  1.42 82.   80.   58.    0.6   0.28  0.14
     5.155    1.76  1.62  1.38 82.   80.   58.    0.6   0.29  0.12
     5.196    1.76  1.63  1.38 82.   80.   56.    0.6   0.28  0.16
     5.204    1.76  1.62  1.38 82.   80.   58.    0.6   0.29  0.14
     5.217    1.77  1.64  1.38 82.   80.   56.    0.6   0.29  0.16
     5.242    1.78  1.64  1.4  82.   80.   58.    0.6   0.29  0.12
     5.250    1.76  1.62  1.42 82.   80.   58.    0.6   0.28  0.14
     5.308    1.77  1.62  1.38 82.   80.   56.    0.6   0.28  0.16
     5.323    1.76  1.64  1.4  82.   80.   56.    0.6   0.28  0.16
     5.340    1.76  1.64  1.38 82.   80.   58.    0.6   0.28  0.16
     5.347    1.78  1.64  1.42 82.   80.   58.    0.6   0.28  0.14
     5.352    1.78  1.63  1.38 82.   80.   58.    0.6   0.28  0.12
     5.360    1.78  1.63  1.4  82.   80.   58.    0.6   0.29  0.14
     5.383    1.78  1.64  1.42 82.   80.   56.    0.6   0.29  0.16
     5.392    1.76  1.64  1.42 82.   80.   58.    0.6   0.29  0.14
     5.407    1.78  1.64  1.38 82.   80.   56.    0.6   0.29  0.16
     5.420    1.76  1.64  1.4  82.   80.   58.    0.6   0.29  0.16
     5.425    1.78  1.64  1.4  82.   80.   56.    0.6   0.29  0.16
     5.462    1.76  1.63  1.38 82.   80.   56.    0.6   0.29  0.16
     5.465    1.77  1.62  1.38 82.   80.   58.    0.6   0.28  0.12
     5.466    1.78  1.64  1.42 82.   80.   56.    0.6   0.28  0.16
     5.481    1.78  1.63  1.42 82.   80.   58.    0.6   0.29  0.12
     5.482    1.77  1.63  1.38 82.   80.   58.    0.6   0.29  0.14
     5.491    1.76  1.63  1.42 82.   80.   58.    0.6   0.29  0.16
     5.518    1.77  1.63  1.38 82.   80.   56.    0.6   0.28  0.16
     5.531    1.78  1.62  1.38 82.   80.   56.    0.6   0.28  0.16
     5.565    1.78  1.62  1.42 82.   80.   56.    0.6   0.28  0.16
     5.570    1.77  1.63  1.38 82.   80.   56.    0.6   0.29  0.16
     5.595    1.77  1.64  1.4  82.   80.   58.    0.6   0.28  0.14
     5.605    1.77  1.63  1.42 82.   80.   56.    0.6   0.29  0.16
     5.608    1.78  1.62  1.4  82.   80.   56.    0.6   0.28  0.16
     5.610    1.77  1.64  1.38 82.   80.   58.    0.6   0.29  0.12
     5.628    1.76  1.64  1.38 82.   80.   56.    0.6   0.3   0.16
     5.630    1.77  1.63  1.4  82.   80.   56.    0.6   0.29  0.16
     5.640    1.76  1.63  1.4  82.   80.   58.    0.6   0.28  0.14
     5.646    1.76  1.62  1.4  82.   80.   58.    0.6   0.3   0.12
