   Chi^2    ('R1'  'R2'  'R3'  'Theta2'  'Theta3'  'Phi'  'q1'  'q2'  'q3')
    22.393    1.7   1.6   1.6  75.   75.   60.    0.5   0.35  0.2 
    22.633    1.7   1.4   1.6  75.   75.   65.    0.5   0.15  0.2 
    22.655    1.65  1.5   1.6  80.   75.   55.    0.5   0.25  0.25
    22.753    1.7   1.5   1.6  80.   75.   55.    0.5   0.2   0.25
    22.929    1.7   1.6   1.5  75.   75.   60.    0.5   0.35  0.15
    22.964    1.7   1.4   1.6  80.   85.   65.    0.5   0.15  0.3 
    23.037    1.7   1.5   1.6  75.   80.   65.    0.5   0.2   0.25
    23.091    1.7   1.4   1.4  80.   80.   60.    0.5   0.15  0.15
    23.136    1.7   1.4   1.6  75.   80.   65.    0.5   0.2   0.25
    23.186    1.7   1.6   1.4  75.   80.   65.    0.5   0.25  0.15
    23.199    1.6   1.5   1.6  80.   75.   55.    0.5   0.25  0.25
    23.217    1.7   1.6   1.5  75.   80.   65.    0.5   0.3   0.15
    23.417    1.7   1.5   1.5  85.   80.   55.    0.5   0.2   0.15
    23.436    1.7   1.6   1.6  85.   80.   55.    0.5   0.25  0.2 
    23.641    1.65  1.6   1.4  80.   80.   60.    0.5   0.25  0.15
    24.262    1.65  1.6   1.6  85.   80.   55.    0.5   0.3   0.2 
    24.704    1.7   1.5   1.5  80.   80.   60.    0.5   0.35  0.3 
    24.851    1.65  1.5   1.5  75.   80.   65.    0.5   0.2   0.25
    24.870    1.7   1.5   1.4  80.   80.   60.    0.5   0.25  0.15
    24.993    1.7   1.6   1.4  80.   80.   60.    0.5   0.35  0.15
    25.029    1.7   1.6   1.4  80.   80.   60.    0.5   0.35  0.3 
    25.079    1.7   1.6   1.5  80.   80.   60.    0.5   0.3   0.35
    25.131    1.7   1.5   1.6  80.   80.   60.    0.5   0.35  0.35
    25.351    1.7   1.5   1.4  80.   85.   65.    0.5   0.2   0.15
    25.526    1.65  1.6   1.5  75.   80.   65.    0.5   0.35  0.25
    25.633    1.7   1.6   1.5  85.   80.   55.    0.5   0.3   0.15
    25.648    1.7  1.6  1.6 80.  85.  65.   0.5  0.2  0.3
    25.650    1.7  1.5  1.6 80.  80.  60.   0.5  0.3  0.3
    25.903    1.7   1.6   1.5  75.   80.   65.    0.5   0.25  0.15
    25.968    1.7   1.6   1.4  75.   80.   65.    0.5   0.35  0.2 
    26.267    1.6  1.6  1.4 75.  80.  65.   0.5  0.3  0.2
    26.635    1.7  1.4  1.5 75.  80.  65.   0.5  0.2  0.2
    26.660    1.7  1.5  1.4 75.  80.  65.   0.5  0.2  0.2
    26.710    1.7   1.5   1.6  80.   80.   60.    0.5   0.3   0.25
    26.785    1.65  1.6   1.6  80.   80.   60.    0.5   0.25  0.3 
    26.797    1.7  1.6  1.4 80.  75.  55.   0.5  0.3  0.2
    26.806    1.7   1.6   1.5  80.   75.   55.    0.5   0.25  0.15
    26.966    1.7   1.4   1.5  80.   85.   65.    0.5   0.15  0.2 
    27.346    1.7  1.5  1.5 75.  80.  65.   0.5  0.2  0.2
    27.862    1.7   1.4   1.4  75.   80.   65.    0.5   0.2   0.15
    27.904    1.7  1.5  1.6 75.  80.  65.   0.5  0.2  0.2
    28.119    1.7  1.6  1.6 80.  75.  55.   0.5  0.3  0.2
    28.286    1.7   1.6   1.4  85.   85.   60.    0.5   0.25  0.15
    28.697    1.7   1.6   1.4  75.   80.   65.    0.5   0.25  0.2 
    28.715    1.7  1.6  1.5 80.  80.  60.   0.5  0.3  0.3
    29.044    1.7  1.6  1.5 75.  75.  55.   0.5  0.2  0.2
    29.227    1.7   1.6   1.6  85.   80.   55.    0.5   0.3   0.15
