   Chi^2    ('R1'  'R2'  'R3'  'Theta2'  'Theta3'  'Phi'  'q1'  'q2'  'q3')
     2.887    1.7   1.7   1.45 82.   80.   60.    0.5   0.3   0.15
     2.918    1.7   1.65  1.5  80.   80.   60.    0.5   0.3   0.15
     3.058    1.75  1.65  1.65 82.   78.   56.    0.5   0.3   0.15
     3.085    1.7   1.65  1.5  80.   74.   58.    0.5   0.3   0.15
     3.121    1.7   1.65  1.55 80.   76.   58.    0.5   0.3   0.15
     3.226    1.75  1.7   1.6  82.   80.   58.    0.5   0.3   0.15
     3.229    1.7   1.65  1.6  82.   76.   56.    0.5   0.3   0.15
     3.254    1.8   1.7   1.5  82.   76.   58.    0.5   0.3   0.15
     3.395    1.7   1.65  1.5  78.   74.   60.    0.5   0.3   0.15
     3.488    1.7   1.65  1.55 82.   78.   56.    0.5   0.3   0.15
     3.499    1.7   1.65  1.5  80.   76.   58.    0.5   0.3   0.15
     3.568    1.7   1.65  1.55 80.   74.   58.    0.5   0.3   0.15
     3.588    1.75  1.65  1.6  78.   76.   60.    0.5   0.3   0.15
     3.627    1.75  1.7   1.6  80.   78.   60.    0.5   0.3   0.15
     3.668    1.75  1.7   1.65 78.   74.   60.    0.5   0.3   0.15
     3.704    1.75  1.7   1.65 82.   80.   58.    0.5   0.3   0.15
     3.746    1.75  1.65  1.65 80.   78.   58.    0.5   0.3   0.15
     3.792    1.75  1.65  1.5  82.   74.   56.    0.5   0.3   0.15
     3.870    1.8   1.7   1.65 80.   80.   60.    0.5   0.3   0.15
     3.889    1.7   1.65  1.45 80.   78.   60.    0.5   0.3   0.15
     3.889    1.7   1.65  1.45 78.   74.   60.    0.5   0.3   0.15
     3.913    1.7   1.65  1.55 78.   74.   60.    0.5   0.3   0.15
     3.968    1.75  1.65  1.65 78.   76.   60.    0.5   0.3   0.15
     3.982    1.7   1.65  1.45 80.   74.   58.    0.5   0.3   0.15
     4.005    1.75  1.65  1.65 82.   74.   56.    0.5   0.3   0.15
     4.008    1.7   1.65  1.55 82.   80.   58.    0.5   0.3   0.15
     4.024    1.7   1.65  1.5  82.   74.   56.    0.5   0.3   0.15
     4.042    1.75  1.7   1.65 80.   74.   58.    0.5   0.3   0.15
     4.053    1.75  1.7   1.55 80.   80.   60.    0.5   0.3   0.15
     4.080    1.7   1.65  1.5  78.   76.   60.    0.5   0.3   0.15
     4.097    1.75  1.7   1.6  78.   74.   60.    0.5   0.3   0.15
     4.099    1.75  1.7   1.65 80.   78.   60.    0.5   0.3   0.15
     4.109    1.75  1.65  1.65 80.   76.   58.    0.5   0.3   0.15
     4.123    1.75  1.65  1.65 82.   76.   56.    0.5   0.3   0.15
     4.157    1.8   1.65  1.6  78.   76.   60.    0.5   0.3   0.15
     4.167    1.75  1.7   1.6  80.   80.   60.    0.5   0.3   0.15
     4.169    1.7   1.65  1.45 82.   78.   58.    0.5   0.3   0.15
     4.175    1.7   1.7   1.45 82.   78.   54.    0.5   0.3   0.15
     4.234    1.75  1.65  1.6  80.   76.   58.    0.5   0.3   0.15
     4.254    1.7   1.65  1.5  82.   80.   58.    0.5   0.3   0.15
     4.264    1.75  1.65  1.6  80.   80.   60.    0.5   0.3   0.15
     4.279    1.75  1.65  1.6  78.   78.   60.    0.5   0.3   0.15
     4.279    1.75  1.65  1.55 80.   80.   60.    0.5   0.3   0.15
     4.291    1.7   1.65  1.55 82.   74.   56.    0.5   0.3   0.15
     4.324    1.7   1.7   1.5  82.   80.   58.    0.5   0.3   0.15
     4.345    1.75  1.65  1.6  80.   78.   58.    0.5   0.3   0.15
     4.366    1.75  1.65  1.65 78.   78.   60.    0.5   0.3   0.15
     4.411    1.75  1.7   1.5  82.   80.   60.    0.5   0.3   0.15
     4.415    1.75  1.7   1.5  82.   78.   60.    0.5   0.3   0.15
