   Chi^2    ('R1', 'R2', 'R3', 'Theta2', 'Theta3', 'Phi', 'q1', 'q2', 'q3')
     8.544    1.64  1.58  1.42 81.   80.   58.    0.5   0.3   0.1 
     8.638    1.64   1.565  1.42  81.    80.    57.     0.5    0.3    0.1  
     8.680    1.66  1.58  1.38 81.   80.   55.    0.5   0.3   0.1 
     8.862    1.62  1.55  1.38 81.   80.   55.    0.5   0.3   0.1 
     9.306    1.64  1.58  1.4  81.   80.   56.    0.5   0.3   0.15
     9.414    1.62   1.565  1.42  81.    80.    56.     0.5    0.3    0.125
     9.478    1.62  1.55  1.38 81.   80.   56.    0.5   0.3   0.1 
     9.604    1.62   1.55   1.42  81.    80.    58.     0.5    0.3    0.125
     9.997    1.64   1.565  1.42  81.    80.    58.     0.5    0.3    0.125
    10.026    1.64   1.565  1.42  81.    80.    55.     0.5    0.3    0.15 
    10.295    1.62  1.58  1.42 81.   80.   58.    0.5   0.3   0.15
    10.440    1.64   1.565  1.38  81.    80.    57.     0.5    0.3    0.125
    10.540    1.62  1.55  1.4  81.   80.   57.    0.5   0.3   0.15
    10.630    1.64   1.565  1.38  81.    80.    58.     0.5    0.3    0.1  
    11.162    1.64   1.565  1.4   81.    80.    58.     0.5    0.3    0.1  
    11.522    1.62  1.58  1.42 81.   80.   57.    0.5   0.3   0.15
    11.777    1.62   1.565  1.38  81.    80.    56.     0.5    0.3    0.15 
    11.851    1.64   1.565  1.4   81.    80.    58.     0.5    0.3    0.125
    11.950    1.62   1.565  1.42  81.    80.    55.     0.5    0.3    0.125
    11.976    1.64   1.565  1.42  81.    80.    58.     0.5    0.3    0.1  
    12.052    1.64  1.55  1.4  81.   80.   55.    0.5   0.3   0.1 
    12.117    1.62   1.565  1.38  81.    80.    55.     0.5    0.3    0.15 
    12.379    1.64  1.55  1.42 81.   80.   55.    0.5   0.3   0.1 
    12.387    1.64  1.55  1.38 81.   80.   55.    0.5   0.3   0.1 
    12.492    1.66  1.58  1.42 81.   80.   56.    0.5   0.3   0.1 
    12.522    1.66   1.58   1.42  81.    80.    55.     0.5    0.3    0.125
    12.557    1.64   1.565  1.42  81.    80.    56.     0.5    0.3    0.15 
    12.709    1.64  1.58  1.4  81.   80.   57.    0.5   0.3   0.15
    12.792    1.62  1.55  1.38 81.   80.   57.    0.5   0.3   0.1 
    12.944    1.66  1.58  1.4  81.   80.   56.    0.5   0.3   0.1 
    13.318    1.62  1.55  1.4  81.   80.   58.    0.5   0.3   0.15
    13.651    1.62  1.55  1.4  81.   80.   56.    0.5   0.3   0.1 
    13.675    1.62  1.58  1.42 81.   80.   56.    0.5   0.3   0.15
    13.893    1.62  1.55  1.4  81.   80.   55.    0.5   0.3   0.1 
    14.108    1.64   1.55   1.42  81.    80.    55.     0.5    0.3    0.125
    14.114    1.66  1.58  1.38 81.   80.   56.    0.5   0.3   0.1 
    14.827    1.62   1.565  1.42  81.    80.    56.     0.5    0.3    0.175
    14.847    1.62  1.55  1.38 81.   80.   55.    0.5   0.3   0.15
    14.923    1.62   1.58   1.38  81.    80.    57.     0.5    0.3    0.125
    14.923    1.62   1.565  1.42  81.    80.    57.     0.5    0.3    0.175
    15.029    1.62   1.58   1.38  81.    80.    58.     0.5    0.3    0.125
    15.287    1.62  1.58  1.38 81.   80.   58.    0.5   0.3   0.15
    15.348    1.62   1.565  1.38  81.    80.    57.     0.5    0.3    0.15 
    15.728    1.62   1.565  1.42  81.    80.    55.     0.5    0.3    0.175
    15.783    1.64   1.565  1.38  81.    80.    58.     0.5    0.3    0.125
    15.866    1.62   1.58   1.4   81.    80.    58.     0.5    0.3    0.125
    16.374    1.62   1.58   1.38  81.    80.    56.     0.5    0.3    0.125
    16.662    1.62  1.55  1.38 81.   80.   58.    0.5   0.3   0.1 
    16.664    1.64   1.565  1.42  81.    80.    57.     0.5    0.3    0.15 
    16.666    1.62  1.58  1.42 81.   80.   55.    0.5   0.3   0.15
    16.994    1.62  1.58  1.4  81.   80.   56.    0.5   0.3   0.15
    17.152    1.62   1.565  1.38  81.    80.    58.     0.5    0.3    0.1  
    17.156    1.62   1.58   1.4   81.    80.    57.     0.5    0.3    0.125
    17.189    1.62   1.565  1.38  81.    80.    57.     0.5    0.3    0.1  
    17.252    1.64  1.58  1.38 81.   80.   55.    0.5   0.3   0.15
    17.338    1.62  1.55  1.4  81.   80.   57.    0.5   0.3   0.1 
    17.652    1.64   1.55   1.4   81.    80.    55.     0.5    0.3    0.125
    17.741    1.62  1.58  1.4  81.   80.   57.    0.5   0.3   0.15
    17.801    1.62   1.565  1.42  81.    80.    58.     0.5    0.3    0.175
    17.879    1.62  1.55  1.38 81.   80.   56.    0.5   0.3   0.15
    17.931    1.62  1.58  1.4  81.   80.   55.    0.5   0.3   0.15
    18.605    1.66   1.58   1.42  81.    80.    56.     0.5    0.3    0.125
    18.610    1.66   1.58   1.4   81.    80.    55.     0.5    0.3    0.125
    18.674    1.62  1.55  1.42 81.   80.   56.    0.5   0.3   0.1 
    19.105    1.64   1.58   1.42  81.    80.    55.     0.5    0.3    0.175
    19.181    1.62   1.58   1.38  81.    80.    55.     0.5    0.3    0.125
    19.216    1.66  1.58  1.42 81.   80.   57.    0.5   0.3   0.1 
    19.242    1.64  1.55  1.42 81.   80.   56.    0.5   0.3   0.1 
    19.288    1.64  1.55  1.4  81.   80.   56.    0.5   0.3   0.1 
    19.360    1.64   1.565  1.4   81.    80.    55.     0.5    0.3    0.15 
    19.620    1.62   1.58   1.4   81.    80.    56.     0.5    0.3    0.125
    19.630    1.64  1.58  1.4  81.   80.   58.    0.5   0.3   0.15
    19.718    1.62   1.565  1.38  81.    80.    56.     0.5    0.3    0.1  
