#T(K)  # Magnetic Field (Tesla), Moment (muB/mol),
5.0   6.3	4.87389
5.0   6.4	4.87741
5.0   6.5	4.88085
5.0   6.6	4.88421
5.0   6.7	4.88749
5.0   6.8	4.89071
5.0   6.9	4.89386
5.0   7.	4.89695
5.0   7.1	4.89997
5.0   7.2	4.90294
5.0   7.3	4.90586
5.0   7.4	4.90873
5.0   7.5	4.91155
5.0   7.6	4.91433
5.0   7.7	4.91706
5.0   7.8	4.91976
5.0   7.9	4.92241
5.0   8.	4.92503
5.0   8.1	4.92762
5.0   8.2	4.93017
5.0   8.3	4.93269
5.0   8.4	4.93518
5.0   8.5	4.93764
5.0   8.6	4.94008
5.0   8.7	4.94249
5.0   8.8	4.94487
5.0   8.9	4.94723
5.0   9.	4.94957
5.0   9.1	4.95189
5.0   9.2	4.95418
5.0   9.3	4.95646
5.0   9.4	4.95872
5.0   9.5	4.96096
5.0   9.6	4.96318
5.0   9.7	4.96538
5.0   9.8	4.96757
5.0   9.9	4.96975
5.0   10.	4.9719
5.0   10.1	4.97405
5.0   10.2	4.97618
5.0   10.3	4.9783
5.0   10.4	4.9804
5.0   10.5	4.9825
5.0   10.6	4.98458
5.0   10.7	4.98665
5.0   10.8	4.98871
5.0   10.9	4.99076
5.0   11.	4.9928
5.0   11.1	4.99483
5.0   11.2	4.99685
5.0   11.3	4.99886
5.0   11.4	5.00086
5.0   11.5	5.00285
5.0   11.6	5.00484
5.0   11.7	5.00682
5.0   11.8	5.00879
5.0   11.9	5.01075
5.0   12.	5.01271
5.0   12.1	5.01466
5.0   12.2	5.0166
5.0   12.3	5.01854
5.0   12.4	5.02047
5.0   12.5	5.02239
5.0   12.6	5.02431
5.0   12.7	5.02622
5.0   12.8	5.02813
5.0   12.9	5.03003
5.0   13.	5.03193
5.0   13.1	5.03382
5.0   13.2	5.03571
5.0   13.3	5.03759
5.0   13.4	5.03947
5.0   13.5	5.04134
5.0   13.6	5.04321
5.0   13.7	5.04507
5.0   13.8	5.04694
5.0   13.9	5.04879
5.0   14.	5.05065
10.0   3.02226E-5	-0.00394
10.0   0.13063	0.26896
10.0   0.26122	0.58054
10.0   0.39182	0.86156
10.0   0.52242	1.14328
10.0   0.65302	1.41376
10.0   0.78361	1.67053
10.0   0.91421	1.91275
10.0   1.04481	2.1395
10.0   1.17541	2.35039
10.0   1.306	2.54726
10.0   1.4366	2.72834
10.0   1.5672	2.89501
10.0   1.69779	3.0477
10.0   1.82839	3.18739
10.0   1.95899	3.31566
10.0   2.08959	3.43286
10.0   2.22018	3.53958
10.0   2.35078	3.63749
10.0   2.48138	3.7269
10.0   2.61197	3.80848
10.0   2.74257	3.88338
10.0   2.87317	3.96506
10.0   3.00377	4.01093
10.0   3.13436	4.0722
10.0   3.26496	4.12532
10.0   3.39556	4.17425
10.0   3.52615	4.21971
10.0   3.65675	4.26173
10.0   3.78735	4.30034
10.0   3.91795	4.33599
10.0   4.04854	4.36933
10.0   4.17914	4.40063
10.0   4.30974	4.42926
10.0   4.44034	4.45647
10.0   4.57093	4.48152
10.0   4.70153	4.50538
10.0   4.83213	4.52744
10.0   4.96272	4.54812
10.0   5.09332	4.56774
10.0   5.22392	4.58613
10.0   5.35452	4.60364
10.0   5.48511	4.62016
10.0   5.61571	4.63559
10.0   5.74631	4.65045
10.0   5.8769	4.66447
10.0   6.0075	4.68135
10.0   6.1381	4.68997
10.0   6.2687	4.70231
10.0   6.39929	4.71378
10.0   6.52989	4.72477
10.0   6.66049	4.73524
10.0   6.79108	4.74538
10.0   6.92168	4.75511
10.0   7.05228	4.76418
10.0   7.18288	4.77289
10.0   7.31347	4.7817
10.0   7.44407	4.78991
10.0   7.57467	4.79792
10.0   7.70526	4.80551
