   Chi^2    ('R1', 'R2', 'R3', 'Theta2', 'Theta3', 'Phi', 'q1', 'q2', 'q3')
     1.571    1.65   1.6    1.45  79.    80.    58.333  0.5    0.3    0.15 
     1.686    1.65  1.6   1.45 79.   77.5  65.    0.5   0.3   0.15
     2.086    1.65  1.6   1.45 81.   75.   65.    0.5   0.3   0.15
     2.393    1.65   1.6    1.45  79.    77.5   58.333  0.5    0.3    0.15 
     2.423    1.65  1.6   1.45 79.   75.   65.    0.5   0.3   0.15
     3.165    1.65   1.6    1.5   81.    77.5   58.333  0.5    0.3    0.15 
     3.228    1.65   1.6    1.45  81.    77.5   58.333  0.5    0.3    0.15 
     3.395    1.65   1.6    1.45  81.    75.    58.333  0.5    0.3    0.15 
     3.424    1.65  1.6   1.4  79.   77.5  65.    0.5   0.3   0.15
     3.465    1.65   1.6    1.5   81.    80.    58.333  0.5    0.3    0.15 
     3.671    1.65  1.6   1.4  79.   75.   65.    0.5   0.3   0.15
     3.704    1.65  1.6   1.5  79.   75.   65.    0.5   0.3   0.2 
     4.421    1.65   1.6    1.45  81.    75.    61.667  0.5    0.3    0.15 
     4.425    1.65  1.6   1.4  81.   75.   65.    0.5   0.3   0.15
     4.481    1.65   1.6    1.5   79.    80.    58.333  0.5    0.3    0.15 
     4.520    1.65   1.6    1.5   81.    75.    58.333  0.5    0.3    0.15 
     4.541    1.65  1.6   1.45 79.   80.   65.    0.5   0.3   0.15
     4.653    1.65  1.6   1.5  79.   77.5  65.    0.5   0.3   0.2 
     4.667    1.65   1.6    1.45  79.    80.    61.667  0.5    0.3    0.15 
     4.750    1.65   1.6    1.45  79.    77.5   61.667  0.5    0.3    0.15 
     4.898    1.65  1.6   1.5  81.   80.   55.    0.5   0.3   0.15
     5.692    1.65   1.6    1.45  81.    80.    58.333  0.5    0.3    0.15 
     5.713    1.65   1.6    1.45  81.    77.5   61.667  0.5    0.3    0.15 
     5.990    1.65  1.6   1.45 79.   80.   55.    0.5   0.3   0.15
     6.298    1.65   1.6    1.45  79.    75.    61.667  0.5    0.3    0.15 
     6.770    1.65   1.6    1.5   79.    77.5   58.333  0.5    0.3    0.15 
     7.154    1.65   1.6    1.45  79.    75.    58.333  0.5    0.3    0.15 
     7.207    1.65  1.6   1.45 81.   77.5  65.    0.5   0.3   0.15
     7.289    1.65  1.6   1.5  81.   77.5  55.    0.5   0.3   0.15
     7.453    1.65  1.6   1.5  79.   80.   55.    0.5   0.3   0.15
     7.946    1.65   1.6    1.5   81.    77.5   61.667  0.5    0.3    0.15 
     8.266    1.65   1.6    1.5   81.    80.    61.667  0.5    0.3    0.15 
     8.335    1.65  1.6   1.5  81.   75.   65.    0.5   0.3   0.2 
     8.701    1.65  1.6   1.5  79.   77.5  65.    0.5   0.3   0.15
     8.882    1.65   1.6    1.45  81.    80.    61.667  0.5    0.3    0.15 
     8.944    1.65  1.6   1.45 81.   80.   55.    0.5   0.3   0.15
     8.967    1.65  1.55  1.5  79.   75.   55.    0.5   0.3   0.15
     8.995    1.65  1.6   1.4  79.   80.   65.    0.5   0.3   0.15
     9.239    1.65   1.6    1.5   79.    80.    61.667  0.5    0.3    0.15 
     9.317    1.65   1.6    1.5   81.    75.    61.667  0.5    0.3    0.15 
     9.408    1.65  1.6   1.5  81.   75.   65.    0.5   0.3   0.15
     9.434    1.65  1.6   1.45 79.   77.5  55.    0.5   0.3   0.15
    10.287    1.65  1.6   1.5  79.   75.   65.    0.5   0.3   0.15
    10.636    1.65  1.6   1.5  81.   75.   55.    0.5   0.3   0.15
    10.666    1.65  1.6   1.45 81.   77.5  55.    0.5   0.3   0.15
    11.508    1.65  1.6   1.5  79.   80.   65.    0.5   0.3   0.2 
    11.743    1.65   1.6    1.4   79.    77.5   58.333  0.5    0.3    0.15 
    11.856    1.65  1.6   1.5  79.   77.5  55.    0.5   0.3   0.15
    12.620    1.65  1.6   1.5  79.   80.   65.    0.5   0.3   0.15
    12.646    1.65   1.6    1.5   79.    77.5   61.667  0.5    0.3    0.15 
    12.665    1.65   1.6    1.4   79.    77.5   61.667  0.5    0.3    0.15 
    12.853    1.65   1.6    1.4   79.    75.    61.667  0.5    0.3    0.15 
    13.338    1.65  1.6   1.45 81.   75.   55.    0.5   0.3   0.15
    13.374    1.65  1.55  1.45 79.   75.   55.    0.5   0.3   0.15
    13.681    1.65   1.6    1.5   79.    75.    58.333  0.5    0.3    0.15 
    14.121    1.65   1.6    1.4   79.    80.    58.333  0.5    0.3    0.15 
    14.664    1.65  1.6   1.4  81.   77.5  65.    0.5   0.3   0.15
    14.762    1.65  1.55  1.5  79.   77.5  55.    0.5   0.3   0.15
    15.446    1.65   1.6    1.4   81.    75.    58.333  0.5    0.3    0.15 
    15.456    1.65   1.6    1.4   79.    80.    61.667  0.5    0.3    0.15 
    15.490    1.65   1.6    1.5   79.    75.    61.667  0.5    0.3    0.2  
    15.659    1.65  1.6   1.5  81.   77.5  65.    0.5   0.3   0.15
    16.330    1.65   1.6    1.4   81.    75.    61.667  0.5    0.3    0.15 
    16.720    1.65   1.6    1.5   79.    77.5   58.333  0.5    0.3    0.2  
    16.952    1.65  1.55  1.5  81.   75.   55.    0.5   0.3   0.15
    17.380    1.65   1.6    1.5   79.    75.    61.667  0.5    0.3    0.15 
    17.571    1.65   1.6    1.5   79.    77.5   61.667  0.5    0.3    0.2  
    17.661    1.65  1.6   1.45 81.   80.   65.    0.5   0.3   0.15
    18.217    1.65  1.6   1.45 79.   75.   55.    0.5   0.3   0.15
    20.041    1.65   1.6    1.5   79.    80.    61.667  0.5    0.3    0.2  
    20.155    1.65   1.6    1.4   81.    77.5   58.333  0.5    0.3    0.15 
    20.770    1.65   1.6    1.5   81.    75.    58.333  0.5    0.3    0.2  
    20.934    1.65   1.6    1.5   79.    80.    58.333  0.5    0.3    0.2  
    20.974    1.65  1.6   1.5  81.   77.5  65.    0.5   0.3   0.2 
    21.007    1.65   1.6    1.4   79.    75.    58.333  0.5    0.3    0.15 
    21.009    1.65  1.6   1.5  79.   75.   55.    0.5   0.3   0.15
    21.134    1.65   1.6    1.5   81.    75.    61.667  0.5    0.3    0.2  
    21.578    1.65  1.6   1.4  79.   80.   55.    0.5   0.3   0.15
    21.693    1.65   1.6    1.4   81.    77.5   61.667  0.5    0.3    0.15 
    22.150    1.65  1.55  1.45 79.   77.5  55.    0.5   0.3   0.15
    22.849    1.65   1.6    1.5   79.    75.    58.333  0.5    0.3    0.2  
    24.315    1.65  1.6   1.5  81.   80.   65.    0.5   0.3   0.15
    27.144    1.65  1.55  1.45 81.   75.   55.    0.5   0.3   0.15
    27.764    1.65  1.6   1.4  79.   77.5  55.    0.5   0.3   0.15
    27.897    1.65   1.6    1.5   81.    77.5   61.667  0.5    0.3    0.2  
    28.128    1.65  1.55  1.5  79.   80.   55.    0.5   0.3   0.15
    28.892    1.65  1.6   1.5  79.   80.   55.    0.5   0.3   0.2 
    30.150    1.65   1.6    1.5   81.    77.5   58.333  0.5    0.3    0.2  
    30.301    1.65  1.6   1.45 81.   75.   55.    0.5   0.3   0.2 
    30.310    1.65   1.6    1.45  81.    75.    58.333  0.5    0.3    0.2  
    30.843    1.65  1.6   1.45 79.   77.5  65.    0.5   0.3   0.2 
    30.849    1.65  1.6   1.45 79.   75.   65.    0.5   0.3   0.2 
    31.121    1.65  1.6   1.4  81.   80.   65.    0.5   0.3   0.15
    31.198    1.65  1.6   1.45 81.   75.   65.    0.5   0.3   0.2 
    32.285    1.65  1.6   1.45 79.   77.5  55.    0.5   0.3   0.2 
    32.649    1.65  1.6   1.4  81.   75.   55.    0.5   0.3   0.15
    32.910    1.65  1.6   1.5  79.   77.5  55.    0.5   0.3   0.2 
    32.921    1.65  1.6   1.45 79.   75.   55.    0.5   0.3   0.2 
    34.363    1.65  1.6   1.5  81.   75.   55.    0.5   0.3   0.2 
    34.801    1.65  1.6   1.4  81.   77.5  55.    0.5   0.3   0.15
    34.855    1.65   1.6    1.4   81.    80.    61.667  0.5    0.3    0.15 
    35.193    1.65  1.55  1.5  81.   77.5  55.    0.5   0.3   0.15
    35.755    1.65   1.6    1.4   81.    80.    58.333  0.5    0.3    0.15 
    35.991    1.65  1.6   1.4  81.   80.   55.    0.5   0.3   0.15
    37.045    1.65   1.6    1.45  81.    75.    61.667  0.5    0.3    0.2  
    38.319    1.65  1.6   1.5  81.   80.   65.    0.5   0.3   0.2 
    39.373    1.65  1.6   1.45 81.   77.5  55.    0.5   0.3   0.2 
    39.385    1.65  1.6   1.45 79.   80.   55.    0.5   0.3   0.2 
    39.994    1.65   1.6    1.5   81.    80.    61.667  0.5    0.3    0.2  
    41.084    1.65   1.6    1.45  79.    77.5   58.333  0.5    0.3    0.2  
    41.699    1.65  1.6   1.4  79.   75.   55.    0.5   0.3   0.15
    42.374    1.65   1.6    1.45  79.    77.5   61.667  0.5    0.3    0.2  
