  177.879,   1.63, 1.5, 1.4, 78.0, 75.0, 55.0, 0.5, 0.3, 0.15
   57.995,   1.63, 1.5, 1.4, 78.0, 75.0, 55.0, 0.5, 0.25, 0.15
  478.166,   1.63, 1.5, 1.4, 78.0, 75.0, 65.0, 0.5, 0.3, 0.15
   20.435,   1.63, 1.5, 1.4, 78.0, 75.0, 65.0, 0.5, 0.25, 0.15
  252.809,   1.63, 1.5, 1.4, 78.0, 77.5, 55.0, 0.5, 0.3, 0.15
   37.279,   1.63, 1.5, 1.4, 78.0, 77.5, 55.0, 0.5, 0.25, 0.15
  718.081,   1.63, 1.5, 1.4, 78.0, 77.5, 65.0, 0.5, 0.3, 0.15
   10.614,   1.63, 1.5, 1.4, 78.0, 77.5, 65.0, 0.5, 0.25, 0.15
  338.624,   1.63, 1.5, 1.4, 78.0, 80.0, 55.0, 0.5, 0.3, 0.15
   19.037,   1.63, 1.5, 1.4, 78.0, 80.0, 55.0, 0.5, 0.25, 0.15
 1150.627,   1.63, 1.5, 1.4, 78.0, 80.0, 65.0, 0.5, 0.3, 0.15
    9.492,   1.63, 1.5, 1.4, 78.0, 80.0, 65.0, 0.5, 0.25, 0.15
  251.339,   1.63, 1.5, 1.4, 80.0, 75.0, 55.0, 0.5, 0.3, 0.15
   48.367,   1.63, 1.5, 1.4, 80.0, 75.0, 55.0, 0.5, 0.25, 0.15
  528.626,   1.63, 1.5, 1.4, 80.0, 75.0, 65.0, 0.5, 0.3, 0.15
    7.580,   1.63, 1.5, 1.4, 80.0, 75.0, 65.0, 0.5, 0.25, 0.15
  341.334,   1.63, 1.5, 1.4, 80.0, 77.5, 55.0, 0.5, 0.3, 0.15
   28.856,   1.63, 1.5, 1.4, 80.0, 77.5, 55.0, 0.5, 0.25, 0.15
  665.500,   1.63, 1.5, 1.4, 80.0, 77.5, 65.0, 0.5, 0.3, 0.15
    7.343,   1.63, 1.5, 1.4, 80.0, 77.5, 65.0, 0.5, 0.25, 0.15
  472.434,   1.63, 1.5, 1.4, 80.0, 80.0, 55.0, 0.5, 0.3, 0.15
