Chi2_total=0.999743      values= [  1.63914368   1.57172936   1.39464534  81.12927193  79.6344487
  54.71182421   0.50406886   0.30169821   0.12213388]
[[  0.0908   0.       0.    ]
 [  0.       0.       0.    ]
 [-19.4718   0.       0.    ]]
g_diagonal=[[  0.      0.      0.   ]
 [  0.      0.      0.   ]
 [  0.      0.     19.472]]
roration_along_y=0.267141458827

Chi2=0.264
Energy(meV)    I_exp    Error_exp    I_calc   
  26.475    0.068    0.0589   0.0465

Chi2=0.283
Energy(meV)    I_exp    Error_exp    I_calc   
  2.025    0.3346   0.0276   0.2108
   2.175    0.3433   0.0245   0.2446
   2.325    0.3809   0.0238   0.2889
   2.475    0.4263   0.0228   0.3469
   2.625    0.5207   0.0228   0.4227
   2.775    0.6292   0.0231   0.5197
   2.925    0.8112   0.024    0.637 
   3.075    0.87     0.0249   0.7631
   3.225    0.9807   0.0249   0.8697
   3.375    0.9554   0.0244   0.9234
   3.525    1.       0.0237   0.9173
   3.675    0.9706   0.0234   0.8816
   3.825    0.9171   0.0231   0.8546
   3.975    0.9026   0.0228   0.8566
   4.125    0.9647   0.0231   0.8835
   4.275    0.9022   0.0226   0.9082
   4.425    0.8642   0.0227   0.8922
   4.575    0.7418   0.0212   0.817 
   4.725    0.5853   0.0193   0.7015
   4.875    0.4655   0.019    0.5788
   5.025    0.3687   0.0165   0.4704
   5.175    0.261    0.0158   0.3829
   5.325    0.2003   0.0149   0.3147
   5.475    0.1783   0.0159   0.2621
   5.625    0.117    0.0139   0.2213
   5.775    0.1323   0.0143   0.1892
   5.925    0.1355   0.0136   0.1638
   6.075    0.0998   0.013    0.1433
   6.225    0.1055   0.0126   0.1268
   6.375    0.0985   0.0129   0.1132
   6.525    0.0721   0.0129   0.1021
   6.675    0.071    0.0127   0.0929
   6.825    0.0812   0.0127   0.0852
   6.975    0.09     0.0131   0.0788
   7.125    0.0816   0.0128   0.0734
   7.275    0.073    0.0121   0.069 
   7.425    0.0736   0.0121   0.0653
   7.575    0.0602   0.0126   0.0622
   7.725    0.073    0.0119   0.0595
   7.875    0.0742   0.0125   0.0571
   8.025    0.0829   0.0128   0.0548
   8.175    0.08     0.0125   0.0528
   8.325    0.0747   0.0123   0.051 
   8.475    0.0731   0.0118   0.0495
   8.625    0.0516   0.0123   0.0484
   8.775    0.0801   0.0115   0.0476
   8.925    0.0605   0.0128   0.0471
   9.075    0.0846   0.0132   0.0468
   9.225    0.0849   0.0133   0.0468
   9.375    0.0592   0.0128   0.0467
   9.525    0.0805   0.0134   0.0464
   9.675    0.0437   0.0128   0.0461
   9.825    0.0527   0.0136   0.0459
   9.975    0.0681   0.0142   0.046 
  10.125    0.0765   0.0146   0.0464
  10.275    0.0637   0.0146   0.0471
  10.425    0.0779   0.0144   0.0482
  10.575    0.0809   0.0153   0.0495
  10.725    0.0778   0.0158   0.0512
  10.875    0.0467   0.015    0.053 
  11.025    0.0574   0.014    0.0549
  11.175    0.0752   0.0146   0.0568
  11.325    0.0524   0.0141   0.0588
  11.475    0.0829   0.0134   0.0607
  11.625    0.0745   0.0133   0.0626
  11.775    0.0682   0.0141   0.0644
  11.925    0.1022   0.0131   0.066 
  12.075    0.0815   0.0131   0.0675
  12.225    0.098    0.0136   0.0688
  12.375    0.0793   0.014    0.07  
  12.525    0.0594   0.0129   0.0712
  12.675    0.0697   0.0132   0.0726
  12.825    0.0839   0.0129   0.0742
  12.975    0.1049   0.0129   0.0763
  13.125    0.0906   0.0127   0.0788
  13.275    0.095    0.0124   0.082 
  13.425    0.0934   0.0124   0.0859
  13.575    0.1065   0.0127   0.0904
  13.725    0.0892   0.0121   0.0958
  13.875    0.1132   0.0122   0.1021
  14.025    0.112    0.0123   0.1095
  14.175    0.11     0.0127   0.1182
  14.325    0.1124   0.0126   0.1284
  14.475    0.1208   0.0126   0.1406
  14.625    0.1453   0.0127   0.155 
  14.775    0.1477   0.0134   0.1721
  14.925    0.1422   0.0128   0.1924
  15.075    0.1789   0.0133   0.2165
  15.225    0.2159   0.0143   0.2448
  15.375    0.2437   0.0141   0.2777
  15.525    0.2721   0.0151   0.3156
  15.675    0.3108   0.0148   0.3578
  15.825    0.3429   0.0156   0.4028
  15.975    0.3922   0.0159   0.4477
  16.125    0.4017   0.016    0.4883
  16.275    0.4598   0.0161   0.5196
  16.425    0.4644   0.0158   0.5375
  16.575    0.492    0.0159   0.5399
  16.725    0.4856   0.0161   0.5274
  16.875    0.4937   0.0158   0.5025
  17.025    0.506    0.0159   0.4691
  17.175    0.4963   0.0162   0.4311
  17.325    0.4631   0.0157   0.3924
  17.475    0.4509   0.0153   0.3559
  17.625    0.4358   0.016    0.3235
  17.775    0.4059   0.0145   0.2961
  17.925    0.3667   0.0149   0.2741
  18.075    0.3432   0.0144   0.2573
  18.225    0.3225   0.0135   0.2454
  18.375    0.3033   0.0136   0.2382
  18.525    0.2818   0.0136   0.2354
  18.675    0.2343   0.0124   0.2371
  18.825    0.2512   0.0126   0.2433
  18.975    0.2282   0.0126   0.254 
  19.125    0.2675   0.0133   0.2695
  19.275    0.2546   0.0122   0.29  
  19.425    0.2545   0.0129   0.3155
  19.575    0.2644   0.0143   0.3455
  19.725    0.2936   0.0123   0.3787
  19.875    0.3226   0.0129   0.4128
  20.025    0.308    0.0131   0.4446
  20.175    0.3226   0.0128   0.4704
  20.325    0.3502   0.0138   0.4869
  20.475    0.3659   0.0131   0.4918
  20.625    0.3701   0.0129   0.4843
  20.775    0.3557   0.0134   0.4647
  20.925    0.3435   0.0131   0.4349
  21.075    0.3561   0.0133   0.3984
  21.225    0.3637   0.0211   0.3588
  21.375    0.3339   0.0137   0.3196
  21.525    0.3488   0.0138   0.2829
  21.675    0.2774   0.0134   0.2501
  21.825    0.2772   0.0143   0.2214
  21.975    0.2685   0.0359   0.1965
  22.125    0.2115   0.0122   0.1752
  22.275    0.1728   0.0129   0.1568
  22.425    0.1839   0.013    0.1409
  22.575    0.1493   0.0121   0.1273
  22.725    0.1466   0.0125   0.1154
  22.875    0.1333   0.0129   0.1052
  23.025    0.0873   0.0121   0.0964
  23.175    0.0829   0.0131   0.0886
  23.325    0.0689   0.0132   0.0819
  23.475    0.0555   0.0136   0.0761
  23.625    0.0661   0.0132   0.0709
  23.775    0.0257   0.0137   0.0664
  23.925    0.0398   0.015    0.0623
  24.075    0.0745   0.039    0.0588
  24.225    0.0391   0.0138   0.0556
  24.375    0.018    0.0144   0.0527
  24.525    0.0145   0.0132   0.0502
  24.675    0.0089   0.0144   0.0479
  24.825    0.0282   0.0124   0.0459
  24.975    0.0319   0.0131   0.044 
  25.125    0.0306   0.0147   0.0424
  25.275    0.0295   0.013    0.0409
  25.425    0.0797   0.0474   0.0395
  25.575    0.0118   0.0139   0.0383
  25.725    0.0383   0.0158   0.0372
  25.875    0.0409   0.0206   0.0363
  26.025    0.0658   0.0199   0.0354
  26.175    0.0319   0.0232   0.0346
  26.325    0.01     0.0321   0.0339
  26.475    0.037    0.04     0.0333

Chi2=0.255
Energy(meV)    I_exp    Error_exp    I_calc   
 24.9      0.0692   0.0117   0.0642
  25.5      0.0614   0.0107   0.0558
  26.1      0.0444   0.0104   0.0498
  26.7      0.0414   0.0098   0.0457
  27.3      0.0619   0.01     0.0432
  27.9      0.0557   0.0101   0.0421
  28.5      0.043    0.0097   0.0425
  29.1      0.0369   0.0094   0.0445
