   Chi^2    ('R1', 'R2', 'R3', 'Theta2', 'Theta3', 'Phi', 'q1', 'q2', 'q3')
     2.554    1.65  1.5   1.5  80.   75.   55.    0.5   0.25  0.15
     2.776    1.65  1.5   1.6  80.   75.   55.    0.5   0.25  0.2 
     3.133    1.65  1.6   1.4  80.   75.   65.    0.5   0.3   0.15
     3.542    1.65  1.5   1.6  80.   80.   55.    0.5   0.25  0.2 
     3.674    1.65  1.5   1.5  80.   80.   55.    0.5   0.25  0.15
     3.811    1.65  1.6   1.6  80.   85.   55.    0.5   0.3   0.2 
     3.826    1.65  1.6   1.5  80.   85.   55.    0.5   0.3   0.15
     4.084    1.65  1.6   1.6  75.   85.   65.    0.5   0.3   0.25
     4.168    1.65  1.6   1.4  75.   85.   65.    0.5   0.3   0.15
     4.175    1.65  1.6   1.5  75.   85.   65.    0.5   0.3   0.2 
     4.359    1.65  1.6   1.4  75.   85.   60.    0.5   0.3   0.15
     4.501    1.65  1.6   1.6  75.   85.   60.    0.5   0.3   0.25
     4.510    1.65  1.6   1.6  75.   80.   65.    0.5   0.3   0.25
     4.684    1.65  1.6   1.5  80.   75.   65.    0.5   0.3   0.2 
     4.758    1.65  1.6   1.5  75.   80.   65.    0.5   0.3   0.2 
     4.793    1.65  1.6   1.6  80.   75.   65.    0.5   0.3   0.25
     4.929    1.6   1.6   1.6  80.   85.   55.    0.5   0.35  0.25
     5.044    1.65  1.6   1.4  75.   80.   65.    0.5   0.3   0.15
     5.170    1.65  1.6   1.6  80.   80.   60.    0.5   0.3   0.2 
     5.281    1.65  1.6   1.6  80.   75.   60.    0.5   0.3   0.2 
     5.417    1.65  1.6   1.5  75.   85.   60.    0.5   0.3   0.2 
     5.448    1.65  1.6   1.5  85.   80.   55.    0.5   0.3   0.15
     5.563    1.65  1.6   1.6  80.   80.   55.    0.5   0.3   0.2 
     5.757    1.65  1.6   1.4  75.   85.   55.    0.5   0.3   0.15
     5.994    1.7  1.5  1.6 75.  85.  65.   0.5  0.2  0.2
     5.997    1.65  1.6   1.5  80.   80.   55.    0.5   0.3   0.15
