T(K) B(T)     M(muB)
5   0        0
5	0.005716 0.0046361
40	7.2007	2.4185
40	7.4050	2.4780
40	7.6121	2.5377
40	7.8221	2.5976
40	8.0349	2.6576
40	8.2506	2.7177
40	8.4692	2.7778
40	8.6906	2.8381
40	8.9148	2.8981
40	9.1420	2.9582
40	9.3720	3.0183
40	9.6048	3.0781
40	9.8405	3.1380
40	10.079	3.1977
40	10.320	3.2572
40	10.565	3.3164
40	10.812	3.3749
40	11.062	3.4335
40	11.315	3.4918
40	11.570	3.5498
40	11.829	3.6074
40	12.090	3.6646
40	12.354	3.7214
40	12.622	3.7779
40	12.892	3.8339
40	13.164	3.8893
40	13.440	3.9445
40	13.719	3.9992
40	14.000	4.0533
