   Chi^2    ('R1', 'R2', 'R3', 'Theta2', 'Theta3', 'Phi', 'q1', 'q2', 'q3')
    50.444    1.8   1.6   1.5  75.   80.   58.    0.5   0.35  0.3 
    51.647    1.8   1.6   1.5  75.   70.   58.    0.5   0.35  0.3 
    52.373    1.8   1.6   1.5  80.   80.   62.    0.5   0.35  0.3 
    52.601    1.7   1.6   1.5  75.   75.   62.    0.5   0.35  0.3 
    53.089    1.8   1.6   1.5  75.   70.   62.    0.5   0.25  0.3 
    53.532    1.7   1.7   1.5  70.   70.   58.    0.5   0.35  0.3 
    53.895    1.7   1.6   1.5  70.   75.   62.    0.5   0.35  0.2 
    54.654    1.8   1.6   1.6  70.   80.   58.    0.5   0.35  0.3 
    55.080    1.8   1.6   1.5  70.   70.   62.    0.5   0.25  0.3 
    55.308    1.6   1.6   1.5  80.   75.   58.    0.5   0.35  0.2 
    55.618    1.7   1.6   1.5  75.   70.   62.    0.5   0.25  0.3 
    56.236    1.8   1.6   1.5  75.   75.   58.    0.5   0.35  0.3 
    56.865    1.8   1.6   1.5  80.   70.   58.    0.5   0.35  0.3 
    57.312    1.6   1.7   1.5  75.   80.   58.    0.5   0.35  0.3 
    57.426    1.7   1.7   1.5  75.   75.   62.    0.5   0.35  0.3 
    57.900    1.7   1.6   1.5  80.   70.   58.    0.5   0.35  0.3 
    58.757    1.7   1.7   1.5  70.   70.   62.    0.5   0.35  0.3 
    58.963    1.7   1.6   1.6  70.   75.   58.    0.5   0.35  0.3 
    59.085    1.6   1.6   1.5  80.   80.   58.    0.5   0.35  0.2 
    60.678    1.6   1.7   1.5  80.   80.   62.    0.5   0.35  0.3 
    60.777    1.7   1.6   1.6  70.   80.   62.    0.5   0.35  0.3 
    61.012    1.8   1.6   1.5  80.   70.   62.    0.5   0.25  0.3 
    62.879    1.8   1.6   1.5  80.   75.   58.    0.5   0.35  0.2 
    62.900    1.6   1.6   1.5  80.   70.   58.    0.5   0.35  0.2 
    63.542    1.8   1.6   1.5  70.   70.   58.    0.5   0.25  0.3 
    65.136    1.7   1.6   1.5  75.   75.   58.    0.5   0.35  0.3 
    65.537    1.7   1.6   1.5  80.   75.   62.    0.5   0.25  0.3 
    65.635    1.6   1.7   1.5  75.   80.   62.    0.5   0.35  0.3 
    66.659    1.7   1.6   1.6  80.   75.   62.    0.5   0.35  0.3 
    66.733    1.7   1.7   1.5  75.   80.   62.    0.5   0.35  0.3 
    66.877    1.7   1.7   1.5  80.   75.   62.    0.5   0.35  0.3 
    67.483    1.8   1.6   1.5  70.   70.   62.    0.5   0.35  0.3 
    68.015    1.8   1.6   1.6  75.   70.   62.    0.5   0.35  0.3 
    68.434    1.6   1.7   1.5  80.   75.   62.    0.5   0.35  0.3 
    68.457    1.6   1.6   1.6  80.   80.   62.    0.5   0.35  0.3 
    68.764    1.6   1.6   1.5  75.   80.   62.    0.5   0.25  0.3 
    69.806    1.7   1.6   1.5  70.   70.   62.    0.5   0.35  0.2 
    70.135    1.7   1.6   1.5  70.   70.   62.    0.5   0.25  0.3 
    70.487    1.7   1.6   1.5  70.   80.   58.    0.5   0.35  0.3 
    70.897    1.6   1.6   1.6  80.   70.   62.    0.5   0.35  0.3 
    70.931    1.7   1.6   1.7  80.   70.   62.    0.5   0.35  0.3 
    71.521    1.8   1.7   1.5  70.   80.   58.    0.5   0.35  0.3 
    73.268    1.6   1.6   1.5  75.   80.   58.    0.5   0.35  0.2 
    73.281    1.8   1.6   1.5  75.   80.   58.    0.5   0.25  0.3 
    73.389    1.6   1.6   1.5  80.   75.   62.    0.5   0.35  0.2 
    74.296    1.8   1.7   1.5  75.   70.   62.    0.5   0.35  0.3 
    74.528    1.6   1.6   1.5  80.   80.   62.    0.5   0.35  0.3 
    75.584    1.6   1.6   1.5  80.   80.   58.    0.5   0.25  0.3 
    75.967    1.6   1.7   1.5  80.   80.   58.    0.5   0.35  0.3 
    76.224    1.8   1.6   1.5  70.   70.   62.    0.5   0.35  0.2 
    76.778    1.6   1.7   1.5  70.   80.   62.    0.5   0.35  0.3 
    77.031    1.7   1.6   1.5  75.   70.   58.    0.5   0.25  0.3 
    77.710    1.7   1.6   1.5  70.   80.   58.    0.5   0.25  0.2 
    77.894    1.6   1.6   1.5  75.   80.   58.    0.5   0.25  0.3 
    78.999    1.7   1.6   1.5  80.   70.   58.    0.5   0.25  0.3 
    79.327    1.7   1.6   1.5  70.   70.   58.    0.5   0.25  0.3 
    79.682    1.6   1.7   1.5  75.   75.   62.    0.5   0.35  0.3 
    80.019    1.7   1.6   1.6  70.   75.   62.    0.5   0.35  0.3 
    80.805    1.7   1.6   1.5  80.   70.   62.    0.5   0.35  0.3 
