   Chi^2    ('R1', 'R2', 'R3', 'Theta2', 'Theta3', 'Phi', 'q1', 'q2', 'q3')
    29.815    1.7   1.55  1.4  82.   80.   60.    0.5   0.3   0.12
    30.125    1.7   1.55  1.4  81.   80.   60.    0.5   0.3   0.12
    30.778    1.7   1.55  1.4  80.   80.   60.    0.5   0.3   0.12
    31.922    1.7   1.55  1.4  79.   80.   60.    0.5   0.3   0.12
    33.213    1.75  1.55  1.4  78.   80.   60.    0.5   0.3   0.12
    33.740    1.75  1.55  1.4  79.   80.   60.    0.5   0.3   0.12
    33.891    1.7   1.55  1.4  78.   80.   60.    0.5   0.3   0.12
    34.015    1.7   1.55  1.4  82.   78.5  60.    0.5   0.3   0.12
    34.888    1.7   1.55  1.4  81.   78.5  60.    0.5   0.3   0.12
    34.982    1.75  1.55  1.4  80.   80.   60.    0.5   0.3   0.12
    35.846    1.75  1.55  1.4  79.   78.5  60.    0.5   0.3   0.12
    36.225    1.75  1.55  1.4  78.   78.5  60.    0.5   0.3   0.12
    36.292    1.75  1.55  1.4  80.   78.5  60.    0.5   0.3   0.12
    36.302    1.7   1.55  1.4  80.   78.5  60.    0.5   0.3   0.12
    36.902    1.75  1.55  1.4  81.   80.   60.    0.5   0.3   0.12
    37.425    1.75  1.55  1.4  81.   78.5  60.    0.5   0.3   0.12
    38.347    1.7   1.55  1.4  79.   78.5  60.    0.5   0.3   0.12
    39.378    1.75  1.55  1.4  82.   78.5  60.    0.5   0.3   0.12
    39.428    1.65  1.55  1.4  82.   80.   60.    0.5   0.3   0.12
    39.434    1.75  1.55  1.4  82.   80.   60.    0.5   0.3   0.12
    40.073    1.75  1.55  1.4  80.   77.   60.    0.5   0.3   0.12
    40.382    1.75  1.55  1.4  79.   77.   60.    0.5   0.3   0.12
    40.640    1.75  1.55  1.4  81.   77.   60.    0.5   0.3   0.12
    41.400    1.7   1.55  1.4  78.   78.5  60.    0.5   0.3   0.12
    41.408    1.75  1.55  1.4  78.   77.   60.    0.5   0.3   0.12
    41.694    1.65  1.55  1.4  81.   80.   60.    0.5   0.3   0.12
    41.846    1.7   1.55  1.4  82.   77.   60.    0.5   0.3   0.12
    42.063    1.75  1.55  1.4  82.   77.   60.    0.5   0.3   0.12
    42.417    1.7   1.55  1.35 82.   80.   60.    0.5   0.3   0.12
    42.932    1.75  1.55  1.35 82.   80.   60.    0.5   0.3   0.12
    43.196    1.7   1.55  1.4  81.   77.   60.    0.5   0.3   0.12
    43.691    1.75  1.55  1.35 81.   80.   60.    0.5   0.3   0.12
    44.064    1.7   1.6   1.35 81.   80.   60.    0.5   0.3   0.12
    44.255    1.7   1.6   1.35 80.   80.   60.    0.5   0.3   0.12
    44.399    1.7   1.6   1.35 82.   78.5  60.    0.5   0.3   0.12
    44.556    1.65  1.55  1.4  80.   80.   60.    0.5   0.3   0.12
    44.626    1.7   1.6   1.35 81.   78.5  60.    0.5   0.3   0.12
    44.628    1.7   1.6   1.35 82.   80.   60.    0.5   0.3   0.12
    45.137    1.7   1.55  1.4  80.   77.   60.    0.5   0.3   0.12
    45.262    1.7   1.55  1.35 81.   80.   60.    0.5   0.3   0.12
    45.392    1.7   1.6   1.35 79.   80.   60.    0.5   0.3   0.12
    45.427    1.7   1.6   1.35 80.   78.5  60.    0.5   0.3   0.12
    45.772    1.75  1.55  1.4  81.   75.5  60.    0.5   0.3   0.12
    45.843    1.75  1.55  1.4  80.   75.5  60.    0.5   0.3   0.12
    45.864    1.75  1.55  1.35 80.   80.   60.    0.5   0.3   0.12
    46.658    1.75  1.55  1.4  82.   75.5  60.    0.5   0.3   0.12
    46.663    1.75  1.55  1.4  79.   75.5  60.    0.5   0.3   0.12
    46.838    1.7   1.6   1.35 79.   78.5  60.    0.5   0.3   0.12
    47.493    1.7   1.6   1.35 78.   80.   60.    0.5   0.3   0.12
    47.813    1.7   1.55  1.4  79.   77.   60.    0.5   0.3   0.12
    47.839    1.7   1.6   1.35 82.   77.   60.    0.5   0.3   0.12
    48.287    1.75  1.55  1.4  78.   75.5  60.    0.5   0.3   0.12
    48.500    1.7   1.6   1.35 81.   77.   60.    0.5   0.3   0.12
    48.632    1.7   1.6   1.35 78.   78.5  60.    0.5   0.3   0.12
    48.738    1.65  1.55  1.4  79.   80.   60.    0.5   0.3   0.12
    49.162    1.7   1.55  1.35 80.   80.   60.    0.5   0.3   0.12
    49.179    1.75  1.55  1.35 79.   80.   60.    0.5   0.3   0.12
    49.392    1.7   1.6   1.35 80.   77.   60.    0.5   0.3   0.12
    49.533    1.75  1.6   1.35 78.   74.   60.    0.5   0.3   0.12
    49.916    1.75  1.6   1.35 79.   74.   60.    0.5   0.3   0.12
    50.286    1.7   1.6   1.35 79.   77.   60.    0.5   0.3   0.12
    50.363    1.75  1.6   1.35 78.   75.5  60.    0.5   0.3   0.12
    50.430    1.75  1.6   1.35 78.   78.5  60.    0.5   0.3   0.12
    50.479    1.75  1.6   1.35 79.   78.5  60.    0.5   0.3   0.12
    50.577    1.7   1.6   1.35 82.   75.5  60.    0.5   0.3   0.12
    50.629    1.7   1.55  1.4  82.   75.5  60.    0.5   0.3   0.12
    50.808    1.75  1.6   1.35 80.   74.   60.    0.5   0.3   0.12
    51.005    1.7   1.6   1.35 78.   77.   60.    0.5   0.3   0.12
    51.031    1.7   1.6   1.35 81.   75.5  60.    0.5   0.3   0.12
    51.067    1.75  1.55  1.4  81.   74.   60.    0.5   0.3   0.12
    51.150    1.75  1.6   1.35 79.   75.5  60.    0.5   0.3   0.12
    51.235    1.75  1.55  1.4  82.   74.   60.    0.5   0.3   0.12
    51.324    1.75  1.6   1.35 81.   74.   60.    0.5   0.3   0.12
    51.460    1.7   1.6   1.35 80.   75.5  60.    0.5   0.3   0.12
    51.529    1.7   1.55  1.4  78.   77.   60.    0.5   0.3   0.12
    51.791    1.75  1.55  1.4  80.   74.   60.    0.5   0.3   0.12
    51.886    1.7   1.6   1.35 79.   75.5  60.    0.5   0.3   0.12
    51.913    1.75  1.6   1.35 80.   78.5  60.    0.5   0.3   0.12
    51.923    1.75  1.6   1.35 82.   74.   60.    0.5   0.3   0.12
    52.142    1.75  1.6   1.35 78.   77.   60.    0.5   0.3   0.12
