Ref: arXiv:1507.08200v1 (2015)
 
**************************************
     Steven Crystal Field Parameters (meV )
**************************************

   k   q        Bkq            
 --------------------------------------

   2   0       1.135
   4   0      -0.0615
   4   3       0.315
   6   0       0.0011
   6   3       0.037
   6   6       0.005
