Ref: PHYSICAL REVIEW B 91, 224430 (2015)
 
**************************************
     Wybourne Crystal Field Parameters (meV )
 **************************************

   k   q        Bkq            
 --------------------------------------

   2   0       55.3
   4   0       370
   4   3       128
   6   0       114
   6   3      -114
   6   6       120
