Ref: PHYSICAL REVIEW B 91, 224430 (2015)
 
**************************************
     Wybourne Crystal Field Parameters (meV )
 **************************************

   k   q        Bkq            
 --------------------------------------

   2   0       68.2
   4   0       274.8
   4   3       83.7
   6   0       86.8
   6   3      -62.5
   6   6       101.6
